session_id,time_seconds,percent,angle
168,7.062247,74.0,66.357275
168,7.157683,75.0,47.905608
168,7.253119,76.0,31.241714
168,7.348554,77.0,20.437002
168,7.44399,78.0,17.386994
168,7.539426,79.0,16.586415
168,7.634862,80.0,26.120193
168,7.730297,81.0,55.482086
168,7.825733,82.0,84.364361
168,7.921169,83.0,88.193551
168,8.016605,84.0,64.628147
168,8.11204,85.0,20.056843
168,8.207476,86.0,6.29465
168,8.302912,87.0,8.172792
168,8.398348,88.0,5.562558
168,8.493784,89.0,6.488267
168,8.589219,90.0,8.277661
168,8.684655,91.0,12.285649
168,8.780091,92.0,15.126993
168,8.875527,93.0,20.96636
168,8.970962,94.0,35.208146
168,9.066398,95.0,55.8544
168,9.161834,96.0,65.610884
168,9.25727,97.0,55.800135
168,9.352705,98.0,36.011498
168,9.448141,99.0,18.12432
168,9.543577,100.0,7.68
169,0.0,0.0,8.37
169,0.095436,1.0,12.897877
169,0.190872,2.0,24.550226
169,0.286307,3.0,43.215844
169,0.381743,4.0,62.416411
169,0.477179,5.0,76.536441
169,0.572615,6.0,79.043054
169,0.66805,7.0,72.613526
169,0.763486,8.0,66.958665
169,0.858922,9.0,68.242775
169,0.954358,10.0,71.364271
169,1.049793,11.0,72.612029
169,1.145229,12.0,66.482205
169,1.240665,13.0,51.950421
169,1.336101,14.0,42.057546
169,1.431537,15.0,26.432816
169,1.526972,16.0,14.589432
169,1.622408,17.0,9.552848
169,1.717844,18.0,10.166091
169,1.81328,19.0,10.703412
169,1.908715,20.0,23.72114
169,2.004151,21.0,61.789479
169,2.099587,22.0,81.596581
169,2.195023,23.0,83.420735
169,2.290458,24.0,76.312561
169,2.385894,25.0,73.143067
169,2.48133,26.0,69.486626
169,2.576766,27.0,52.588531
169,2.672202,28.0,42.356873
169,2.767637,29.0,26.667473
169,2.863073,30.0,12.179418
169,2.958509,31.0,5.8304
169,3.053945,32.0,7.235221
169,3.14938,33.0,18.393197
169,3.244816,34.0,42.151409
169,3.340252,35.0,79.765162
169,3.435688,36.0,90.181718
169,3.531123,37.0,81.3412
169,3.626559,38.0,73.818171
169,3.721995,39.0,70.436286
169,3.817431,40.0,60.779351
169,3.912867,41.0,42.007753
169,4.008302,42.0,30.643412
169,4.103738,43.0,16.455459
169,4.199174,44.0,8.171675
169,4.29461,45.0,10.006064
169,4.390045,46.0,16.958791
169,4.485481,47.0,56.262842
169,4.580917,48.0,78.742758
169,4.676353,49.0,92.663832
169,4.771789,50.0,85.307333
169,4.867224,51.0,75.326533
169,4.96266,52.0,73.223959
169,5.058096,53.0,56.23133
169,5.153532,54.0,47.957757
169,5.248967,55.0,29.508723
169,5.344403,56.0,19.10243
169,5.439839,57.0,13.600958
169,5.535275,58.0,12.640053
169,5.63071,59.0,17.639326
169,5.726146,60.0,43.919792
169,5.821582,61.0,83.956934
169,5.917018,62.0,92.41218
169,6.012454,63.0,74.499398
169,6.107889,64.0,72.69874
169,6.203325,65.0,63.802009
169,6.298761,66.0,54.107643
169,6.394197,67.0,36.893032
169,6.489632,68.0,26.249911
169,6.585068,69.0,15.614245
169,6.680504,70.0,11.812919
169,6.77594,71.0,11.886463
169,6.871375,72.0,18.423908
169,6.966811,73.0,58.025535
169,7.062247,74.0,76.22021
169,7.157683,75.0,85.478043
169,7.253119,76.0,79.57368
169,7.348554,77.0,79.477227
169,7.44399,78.0,74.063737
169,7.539426,79.0,56.96271
169,7.634862,80.0,44.470468
169,7.730297,81.0,28.376627
169,7.825733,82.0,18.485283
169,7.921169,83.0,12.388612
169,8.016605,84.0,11.373824
169,8.11204,85.0,15.105746
169,8.207476,86.0,35.128104
169,8.302912,87.0,65.774875
169,8.398348,88.0,77.509908
169,8.493784,89.0,66.26298
169,8.589219,90.0,34.884402
169,8.684655,91.0,5.612637
169,8.780091,92.0,0.271389
169,8.875527,93.0,2.559658
169,8.970962,94.0,1.03712
169,9.066398,95.0,1.632508
169,9.161834,96.0,2.462528
169,9.25727,97.0,4.093705
169,9.352705,98.0,6.902352
169,9.448141,99.0,8.3232
169,9.543577,100.0,9.37
170,0.0,0.0,20.68
170,0.095436,1.0,40.82317
170,0.190872,2.0,60.365624
170,0.286307,3.0,78.742088
170,0.381743,4.0,86.218612
170,0.477179,5.0,81.502374
170,0.572615,6.0,73.86476
170,0.66805,7.0,74.580574
170,0.763486,8.0,73.59857
170,0.858922,9.0,65.542447
170,0.954358,10.0,50.235661
170,1.049793,11.0,37.055602
170,1.145229,12.0,21.136591
170,1.240665,13.0,10.428019
170,1.336101,14.0,7.055972
170,1.431537,15.0,9.17038
170,1.526972,16.0,16.278657
170,1.622408,17.0,46.463374
170,1.717844,18.0,76.980091
170,1.81328,19.0,95.669596
170,1.908715,20.0,87.005144
170,2.004151,21.0,72.837799
170,2.099587,22.0,68.794178
170,2.195023,23.0,59.122422
170,2.290458,24.0,48.017745
170,2.385894,25.0,37.592095
170,2.48133,26.0,24.616205
170,2.576766,27.0,14.831019
170,2.672202,28.0,10.969583
170,2.767637,29.0,11.19699
170,2.863073,30.0,28.60664
170,2.958509,31.0,63.058724
170,3.053945,32.0,91.431918
170,3.14938,33.0,95.383809
170,3.244816,34.0,87.015665
170,3.340252,35.0,74.656635
170,3.435688,36.0,69.165276
170,3.531123,37.0,66.307279
170,3.626559,38.0,44.031684
170,3.721995,39.0,27.133911
170,3.817431,40.0,15.051913
170,3.912867,41.0,8.746935
170,4.008302,42.0,6.745401
170,4.103738,43.0,8.922275
170,4.199174,44.0,30.3631
170,4.29461,45.0,61.880033
170,4.390045,46.0,91.019435
170,4.485481,47.0,89.02068
170,4.580917,48.0,79.716334
170,4.676353,49.0,75.17093
170,4.771789,50.0,65.347045
170,4.867224,51.0,51.381356
170,4.96266,52.0,39.241365
170,5.058096,53.0,27.310593
170,5.153532,54.0,14.798893
170,5.248967,55.0,9.601312
170,5.344403,56.0,9.884271
170,5.439839,57.0,16.962705
170,5.535275,58.0,36.94173
170,5.63071,59.0,70.56566
170,5.726146,60.0,85.936925
170,5.821582,61.0,85.746261
170,5.917018,62.0,73.19097
170,6.012454,63.0,72.179669
170,6.107889,64.0,60.563313
170,6.203325,65.0,49.656571
170,6.298761,66.0,34.949575
170,6.394197,67.0,22.912896
170,6.489632,68.0,12.788924
170,6.585068,69.0,11.097953
170,6.680504,70.0,12.139873
170,6.77594,71.0,37.923673
170,6.871375,72.0,66.543824
170,6.966811,73.0,86.956749
170,7.062247,74.0,89.08999
170,7.157683,75.0,77.165909
170,7.253119,76.0,75.596947
170,7.348554,77.0,67.254076
170,7.44399,78.0,53.960321
170,7.539426,79.0,40.991024
170,7.634862,80.0,29.53867
170,7.730297,81.0,17.403412
170,7.825733,82.0,11.021505
170,7.921169,83.0,10.364499
170,8.016605,84.0,12.785327
170,8.11204,85.0,29.331103
170,8.207476,86.0,54.93459
170,8.302912,87.0,81.033678
170,8.398348,88.0,74.588155
170,8.493784,89.0,45.166382
170,8.589219,90.0,14.241034
170,8.684655,91.0,0.434073
170,8.780091,92.0,1.08242
170,8.875527,93.0,0.32466
170,8.970962,94.0,0.55
170,9.066398,95.0,1.720445
170,9.161834,96.0,2.368755
170,9.25727,97.0,2.71544
170,9.352705,98.0,3.033479
170,9.448141,99.0,3.22908
170,9.543577,100.0,5.16
171,0.0,0.0,34.22
171,0.095436,1.0,50.114697
171,0.190872,2.0,61.696761
171,0.286307,3.0,69.742115
171,0.381743,4.0,74.584441
171,0.477179,5.0,72.619257
171,0.572615,6.0,69.936527
171,0.66805,7.0,69.184855
171,0.763486,8.0,70.510032
171,0.858922,9.0,71.505664
171,0.954358,10.0,66.356364
